main_activity,clustered,tilt_subsector
service provider,telecommunications,Other Transport
service provider,telecommunications cable installations,Total Power
service provider,telescopic loaders,Machinery & Equipment
service provider,telesecretarial services,Other Transport
service provider,temperature measurement instrument,Automotive LDV
service provider,temperature-controlled transport services,Other Transport
service provider,tempering installations,Renewable Energy
service provider,tests on building materials,Construction Buildings
service provider,textile recovery,Bioenergy & Waste Energy
service provider,theft insurance,Machinery & Equipment
service provider,third party inspection,Other Transport
service provider,third-party cereal toasting,Food Related Products
service provider,tht mounting,Construction Buildings
service provider,tigernut,Food Related Products
service provider,tilting doors,Construction Buildings
service provider,tipper,Machinery & Equipment
service provider,tipper truck transport,Construction Buildings
service provider,tires,Automotive HDV
service provider,titanium electropolishing,Construction Buildings
service provider,tools in hard metal,Iron & Steel
service provider,top movers,Other Transport
service provider,topographic survey,Construction Buildings
service provider,topography - consultants,Construction Buildings
service provider,torch brazing,Iron & Steel
service provider,tourbus,Machinery & Equipment
service provider,tourist menus,Food Related Products
service provider,toy,Food Related Products
service provider,traceability software,Food Related Products
service provider,traffic signs,Construction Residential
service provider,trailer rental,Construction Buildings
service provider,training courses,Other Transport
service provider,training innovation for businesses,Other Transport
service provider,transfer,Other Transport
service provider,transfer service,Other Transport
service provider,translation agency,Food Related Products
service provider,translation consultancy,Food Related Products
service provider,transport boat hire,Other Transport
service provider,"transport for cars, collector's",Automotive LDV
service provider,transport for the elderly,Other Transport
service provider,"transport for vehicles, luxury",Automotive LDV
service provider,transport of automobile fleet,Other Transport
service provider,transport of dangerous goods,Other Transport
service provider,transport of deluxe cars,Automotive HDV
service provider,transport of disabled persons,Other Transport
service provider,transport of fragile goods,Other Transport
service provider,transport of new vehicles,Automotive LDV
service provider,transport requirements with precision,Machinery & Equipment
service provider,"transport services, international",Other Transport
service provider,"transport services, national",Other Transport
service provider,transport shipment of merchandise,Other Transport
service provider,transport vehicle tow services,Automotive LDV
service provider,"transport, heavy loads",Automotive HDV
service provider,"transport, wide loads",Other Transport
service provider,"transprt for cars, classic",Automotive LDV
service provider,travelling crane,Machinery & Equipment
service provider,treatment of electrical waste,Chemicals
service provider,treatment of electronic waste,Chemicals
service provider,tropical produce,Agriculture & Livestock
service provider,truck,Automotive HDV
service provider,truck rental,Construction Buildings
service provider,trucks with cranes for goods lifting,Machinery & Equipment
service provider,tube end machining,Iron & Steel
service provider,tugboat rental,Shipping
service provider,tugboat services for cargo ships,Shipping
service provider,tugging,Shipping
service provider,tv camera repair,Construction Residential
service provider,tyre fitting,Automotive LDV
service provider,unblocking of civil pipelines,Construction Residential
service provider,unblocking of industrial pipelines,Construction Residential
service provider,under eloxal digital printing,Construction Residential
service provider,underground car park floors,Construction Buildings
service provider,undersea construction,Construction Buildings
service provider,underwater demolitions,Construction Buildings
service provider,underwater foundations,Construction Buildings
service provider,upright pianos,Other Transport
service provider,urban bus stop,Construction Buildings
service provider,urban planning consultants,Construction Buildings
service provider,used oil collection,Bioenergy & Waste Energy
service provider,used tower crane rental,Construction Residential
service provider,utility van rental,Automotive HDV
service provider,valencia almonds,Food Related Products
service provider,valuation,Shipping
service provider,van hire,Automotive HDV
service provider,van rental,Automotive HDV
service provider,van transport,Automotive HDV
service provider,"vans, commercial",Automotive HDV
service provider,varnishing of furniture,Other Industry
service provider,vegetable oil analysis,Food Related Products
service provider,vegetable oil recycling,Bioenergy & Waste Energy
service provider,vehicle development,Construction Buildings
service provider,vehicle escorting,Other Transport
service provider,vehicle garaging services,Construction Buildings
service provider,vehicle insurance,Automotive HDV
service provider,vehicle scrap yard,Automotive HDV
service provider,vehicle transport,Automotive HDV
service provider,vehicle windscreen repairs,Automotive LDV
service provider,vehicles - electrical repairs,Automotive HDV
service provider,vehicles for the transport of industrial waste,Shipping
service provider,vehicles moved by drivers,Automotive HDV
service provider,"vehicles, electriconic parts",Automotive HDV
service provider,verification of soil,Construction Buildings
service provider,vessel for rent with crew,Shipping
service provider,veterinary services,Agriculture & Livestock
service provider,vibration control consultant,Machinery & Equipment
service provider,vibration insulation,Machinery & Equipment
service provider,vibratory finishing,Construction Buildings
service provider,vibro-acoustic analyses,Machinery & Equipment
service provider,video inspection,Construction Buildings
service provider,vine plants,Agriculture & Livestock
service provider,vip airport transfer,Other Transport
service provider,visit the best rioja wineries vineyards,Food Related Products
service provider,visualisations,Construction Buildings
service provider,vitamin,Food Related Products
service provider,vocational training,Machinery & Equipment
service provider,volvo parts,Automotive LDV
service provider,vtc driver lyon airport,Other Transport
service provider,wall mounted air conditioning units,Construction Buildings
service provider,wall painting,Construction Residential
service provider,warehouse leasing,Other Transport
service provider,warehouse stock-management services,Other Transport
service provider,waste collection,Construction Buildings
service provider,waste collection services,Agriculture & Livestock
service provider,waste incineration plants,Total Energy
service provider,waste manager,Machinery & Equipment
service provider,waste oils,Bioenergy & Waste Energy
service provider,waste recycling advice,Other Industry
service provider,waste transport,Other Transport
service provider,waste water disinfection,Total Energy
service provider,water analysis,Construction Buildings
service provider,water displays,Machinery & Equipment
service provider,water jet cut-outs,Construction Buildings
service provider,water jet cutting,Construction Buildings
service provider,water jet cutting of ceramics,Construction Buildings
service provider,water jet cutting of metals,Construction Buildings
service provider,water jet cutting system,Iron & Steel
service provider,water leak finder,Construction Residential
service provider,water park,Machinery & Equipment
service provider,water protection coating work,Construction Buildings
service provider,water treatment plant management,Other Industry
service provider,water-jet cutting of foam materials,Construction Buildings
service provider,waterjet cutting of armoured metals,Iron & Steel
service provider,waterjet cutting of steel,Iron & Steel
service provider,wealth management,Other Industry
service provider,weapons restored,Automotive LDV
service provider,wear parts,Fishing & Forestry
service provider,web applications,Other Industry
service provider,wedding florist,Agriculture & Livestock
service provider,wedding organisation,Other Transport
service provider,welding filler for lasers,Iron & Steel
service provider,wells,Total Energy
service provider,wind turbine,Other Transport
service provider,wind turbine magnets,Renewable Energy
service provider,window locks for the construction work,Construction Residential
service provider,window repairs,Construction Residential
service provider,windscreen replacement,Automotive LDV
service provider,wine analysis,Food Related Products
service provider,wine bar wine tasting,Food Related Products
service provider,wine tasting,Food Related Products
service provider,wine tasting experiences in la rioja,Food Related Products
service provider,wine tastings in valencia,Food Related Products
service provider,wine tour,Food Related Products
service provider,wine tours from bilbao,Food Related Products
service provider,wine tours from madrid,Food Related Products
service provider,wine tours from san sebastian,Food Related Products
service provider,wine tours in valencia,Food Related Products
service provider,wine transport,Other Transport
service provider,winter gardens,Agriculture & Livestock
service provider,wire eroding work,Construction Buildings
service provider,"wires, telephone",Construction Residential
service provider,wood analysis,Other Industry
service provider,woodworking,Construction Residential
service provider,work with plastics according to dvs,Shipping
service provider,working lifts,Machinery & Equipment
service provider,working of brass,Other Metals
service provider,workshops for industrial vehicle repairs,Automotive HDV
service provider,x-ray inspection,Construction Buildings
service provider,yacht boat surveys south of france,Shipping
service provider,yacht broker,Machinery & Equipment
service provider,yacht services in spain,Shipping
service provider,yacht surveyor,Shipping
service provider,zinc alloy,Other Metals
subcontractor,archaeological digs,Construction Buildings
subcontractor,ardennes facade,Construction Buildings
subcontractor,automobile windscreens,Automotive HDV
subcontractor,beauty dietary supplements,Agriculture & Livestock
subcontractor,beer taps,Machinery & Equipment
subcontractor,bespoke high-protein products,Agriculture & Livestock
subcontractor,"boilermaking, precision",Iron & Steel
subcontractor,brazing,Construction Residential
subcontractor,building renovation,Construction Buildings
subcontractor,cardboard disposable articles,Food Related Products
subcontractor,caught sea shellfish,Food Related Products
subcontractor,chicken slaughtering,Food Related Products
subcontractor,company removal,Construction Buildings
subcontractor,construction company amsterdam,Construction Buildings
subcontractor,consultants construction,Construction Buildings
subcontractor,correction workshops,Machinery & Equipment
subcontractor,dietary supplement,Agriculture & Livestock
subcontractor,disposable food box,Food Related Products
subcontractor,diving,Construction Buildings
subcontractor,engineering for water treatment plants,Construction Buildings
subcontractor,facade masonry,Construction Buildings
subcontractor,façade ardennes,Construction Buildings
subcontractor,façade charleville mézières,Construction Buildings
subcontractor,façade sedan,Construction Buildings
subcontractor,finite element,Construction Residential
subcontractor,floor renovation,Construction Buildings
subcontractor,food additives,Agriculture & Livestock
subcontractor,food package,Food Related Products
subcontractor,forged iron articles,Iron & Steel
subcontractor,"foundries, copper",Other Metals
subcontractor,high protein products,Agriculture & Livestock
subcontractor,large scale painting,Construction Buildings
subcontractor,"lighting, domestic",Iron & Steel
subcontractor,meal replacement,Agriculture & Livestock
subcontractor,mechanical assembly,Other Metals
subcontractor,multi-services,Renewable Energy
subcontractor,noodle box,Food Related Products
subcontractor,nutricosmetics,Agriculture & Livestock
subcontractor,oil tanker assistance,Iron & Steel
subcontractor,pork - slaughterhouse products,Agriculture & Livestock
subcontractor,pos machines,Automotive LDV
subcontractor,precious metals for goldsmiths,Other Metals
subcontractor,precious metals for jewellers,Other Metals
subcontractor,private label nutricosmetics,Agriculture & Livestock
subcontractor,repairs with tiles,Construction Buildings
subcontractor,restructuring works,Construction Buildings
subcontractor,risk managment,Other Transport
subcontractor,sandblasting industrial paint,Construction Residential
subcontractor,skilled craftsman for structural works,Construction Buildings
subcontractor,solar panel assembly,Construction Buildings
subcontractor,steel fabrication,Iron & Steel
subcontractor,steel products,Iron & Steel
subcontractor,structural masonry,Construction Buildings
subcontractor,subcontractor for casting,Iron & Steel
subcontractor,take away fast food box,Food Related Products
subcontractor,tinned lobster,Food Related Products
subcontractor,tuiles,Construction Buildings
subcontractor,wall cladding slates,Construction Buildings
subcontractor,windshield replacement,Automotive HDV
wholesaler,250ml fanta drinks,Food Related Products
wholesaler,abrasive discs,Automotive LDV
wholesaler,abrasive tapes,Construction Buildings
wholesaler,abs,Renewable Energy
wholesaler,abs swimming pool white goods,Construction Buildings
wholesaler,acerola extracts,Agriculture & Livestock
wholesaler,acrylic glass,Construction Residential
wholesaler,activated carbons for sludge filtering plants,Total Energy
wholesaler,active pharmaceutical ingredient,Other Industry
wholesaler,adapters,Other Metals
wholesaler,"adhesive tapes, heat-resistant",Construction Residential
wholesaler,administrative formality services,Total Energy
wholesaler,adr packaging,Other Metals
wholesaler,advertising calendars,Machinery & Equipment
wholesaler,advice for vibration technology,Construction Buildings
wholesaler,agar,Food Related Products
wholesaler,agriculture hoses,Construction Residential
wholesaler,air force,Aviation
wholesaler,ajwa dates,Food Related Products
wholesaler,aleppo soap,Food Related Products
wholesaler,algae products,Food Related Products
wholesaler,all-wheel drives,Automotive HDV
wholesaler,aluminium compounds,Iron & Steel
wholesaler,aluminium fence,Construction Residential
wholesaler,aluminium profiles for conveying technology,Iron & Steel
wholesaler,"aluminium profiles, anodised",Construction Residential
wholesaler,"aluminium profiles, extruded",Iron & Steel
wholesaler,aluminium reducers,Machinery & Equipment
wholesaler,aluminium special profiles,Iron & Steel
wholesaler,angular steel,Iron & Steel
wholesaler,animal feed specialists,Agriculture & Livestock
wholesaler,animal health product,Agriculture & Livestock
wholesaler,anti freezing,Oil Energy
wholesaler,anti-slip coverings for securing loads,Other Transport
wholesaler,anti-slip mat,Construction Buildings
wholesaler,antibacterial coating,Construction Residential
wholesaler,antifreeze liquid,Oil Energy
wholesaler,antivolatile,Construction Residential
wholesaler,applicators,Construction Buildings
wholesaler,aptamil infant milk powder,Food Related Products
wholesaler,aquaculture,Fishing & Forestry
wholesaler,aquatic sports gear,Shipping
wholesaler,archive shelving,Other Industry
wholesaler,aromatic herbs,Agriculture & Livestock
wholesaler,arotco licorice,Food Related Products
wholesaler,articles for cats,Agriculture & Livestock
wholesaler,articles for dogs,Agriculture & Livestock
wholesaler,articulated transmissions,Other Transport
wholesaler,artistic glass,Construction Residential
wholesaler,asbestos disposal,Other Industry
wholesaler,ashwagandha,Food Related Products
wholesaler,attache cases,Machinery & Equipment
wholesaler,attaché case,Machinery & Equipment
wholesaler,authorised dealer,Automotive HDV
wholesaler,automile,Automotive HDV
wholesaler,automobile windscreens,Automotive HDV
wholesaler,auxiliary materials for medicines,Other Non-metallic Minerals
wholesaler,auxiliary services for means of transport,Automotive LDV
wholesaler,ayurvedic products,Agriculture & Livestock
wholesaler,baby milk powder,Other Industry
wholesaler,"backflushing filters, automatic",Machinery & Equipment
wholesaler,bacopa,Food Related Products
wholesaler,baking powder,Food Related Products
wholesaler,balancing machines,Machinery & Equipment
wholesaler,ball valves for district heating,Other Metals
wholesaler,balsa wood,Construction Buildings
wholesaler,bark mulch,Fishing & Forestry
wholesaler,barrel casks,Food Related Products
wholesaler,barrels,Food Related Products
wholesaler,barrier posts,Construction Buildings
wholesaler,barware,Other Industry
wholesaler,basil,Food Related Products
wholesaler,batch,Total Power
wholesaler,bathroom radiators,Construction Buildings
wholesaler,bathrooms fittings,Construction Buildings
wholesaler,battery management system,Automotive HDV
wholesaler,"bearings, antifriction",Machinery & Equipment
wholesaler,beauty products,Food Related Products
wholesaler,beauty products for the face,Construction Residential
wholesaler,bedspreads,Machinery & Equipment
wholesaler,beer taps,Machinery & Equipment
wholesaler,best in town,Automotive HDV
wholesaler,bicycle shelter,Construction Buildings
wholesaler,biodegradable packaging,Agriculture & Livestock
wholesaler,biomass,Oil Energy
wholesaler,bird nets,Construction Residential
wholesaler,bird protection screens,Construction Residential
wholesaler,blister films,Construction Buildings
wholesaler,blood glucose meters,Food Related Products
wholesaler,blood samples,Other Industry
wholesaler,board storage,Other Industry
wholesaler,bobbin dampers,Construction Residential
wholesaler,bobcat,Other Transport
wholesaler,bonsai,Agriculture & Livestock
wholesaler,"boring, plant",Construction Buildings
wholesaler,botanicals,Agriculture & Livestock
wholesaler,bracelets,Other Metals
wholesaler,brakes for vintage cars,Automotive HDV
wholesaler,brand batch,Total Power
wholesaler,briefcases,Automotive LDV
wholesaler,brushcutters,Machinery & Equipment
wholesaler,bulk,Agriculture & Livestock
wholesaler,bulk hand stair products,Construction Residential
wholesaler,bulk used clothes,Other Industry
wholesaler,"bulps, bedding plants",Construction Buildings
wholesaler,bunkering,Other Transport
wholesaler,bush shredder for agriculture,Machinery & Equipment
wholesaler,c.n.c milling,Iron & Steel
wholesaler,cable ties,Construction Buildings
wholesaler,"cables, telephone",Machinery & Equipment
wholesaler,calcinated alumina,Construction Buildings
wholesaler,"calcium, mineral enrichment",Other Non-metallic Minerals
wholesaler,call us,Automotive HDV
wholesaler,camellia seed oil,Food Related Products
wholesaler,campers,Construction Buildings
wholesaler,camping parts,Construction Residential
wholesaler,candles,Construction Residential
wholesaler,capacitor for induction heating,Renewable Energy
wholesaler,capacitors for power electronics,Renewable Energy
wholesaler,capacitors for pulse devices,Renewable Energy
wholesaler,car covers,Automotive LDV
wholesaler,car radiator antifreeze,Automotive LDV
wholesaler,caramel candies,Food Related Products
wholesaler,carbamide,Chemicals
wholesaler,carbon by-products,Oil Energy
wholesaler,cardboard disposable articles,Other Industry
wholesaler,cardboard recycling,Bioenergy & Waste Energy
wholesaler,carnauba wax,Food Related Products
wholesaler,carpenting,Construction Residential
wholesaler,cartoning,Other Industry
wholesaler,cash registers,Food Related Products
wholesaler,cashew kernels,Agriculture & Livestock
wholesaler,casks,Construction Residential
wholesaler,catalytic converter filters,Total Energy
wholesaler,caterers,Food Related Products
wholesaler,caterpillar 320d,Construction Buildings
wholesaler,cattle parts,Agriculture & Livestock
wholesaler,caught sea shellfish,Fishing & Forestry
wholesaler,caviar,Food Related Products
wholesaler,cbd,Oil Energy
wholesaler,cbd application,Food Related Products
wholesaler,cbd crystals,Oil Energy
wholesaler,cbd drops,Food Related Products
wholesaler,cbd e-liquid,Other Industry
wholesaler,cbd infusions,Food Related Products
wholesaler,ceiling formwork,Construction Residential
wholesaler,celebrations articles,Food Related Products
wholesaler,celebrations decorations,Construction Residential
wholesaler,cement,Cement
wholesaler,cement additive,Cement
wholesaler,"cements, special",Construction Buildings
wholesaler,central purchasing for foods,Food Related Products
wholesaler,central purchasing for non-foods,Total Energy
wholesaler,cepa high speed centrifuges,Renewable Energy
wholesaler,ceramic materials,Construction Buildings
wholesaler,ceramic oven dishes,Construction Buildings
wholesaler,ceramic parts for hips,Construction Buildings
wholesaler,ceramic parts for ridges,Construction Buildings
wholesaler,channel jet-washing,Food Related Products
wholesaler,charcuterie,Food Related Products
wholesaler,chemical dosing pumps,Other Industry
wholesaler,chemical waste collection,Chemicals
wholesaler,chewing gum,Food Related Products
wholesaler,chia,Agriculture & Livestock
wholesaler,chicken meat,Food Related Products
wholesaler,chilli (capsicum frutescens),Food Related Products
wholesaler,chinese dragons,Construction Buildings
wholesaler,chinese roofing tiles,Construction Buildings
wholesaler,chives,Food Related Products
wholesaler,chondroitin,Agriculture & Livestock
wholesaler,chorizo,Food Related Products
wholesaler,christmas tree packaging nets,Construction Residential
wholesaler,chrome metals,Iron & Steel
wholesaler,chromium oxide,Other Metals
wholesaler,clamping bars for securing loads,Other Transport
wholesaler,clams,Agriculture & Livestock
wholesaler,classic car batteries,Automotive HDV
wholesaler,classic car electrics,Automotive LDV
wholesaler,classic car hoses,Automotive HDV
wholesaler,clay roofing tiles,Construction Buildings
wholesaler,cleaning machine,Machinery & Equipment
wholesaler,"cleaning products, mirrors",Construction Buildings
wholesaler,"cleaning products, windows",Construction Buildings
wholesaler,clear pockets for transport containers,Machinery & Equipment
wholesaler,climatic chambers,Construction Buildings
wholesaler,clothes recovery,Bioenergy & Waste Energy
wholesaler,clutch,Machinery & Equipment
wholesaler,cnc boring,Iron & Steel
wholesaler,cnc drilling centres,Machinery & Equipment
wholesaler,cnc router,Machinery & Equipment
wholesaler,cnc turning,Machinery & Equipment
wholesaler,cnc-controlled lathes,Automotive LDV
wholesaler,coating ink,Other Industry
wholesaler,coating with nanomaterials,Construction Residential
wholesaler,"coating, scratch-proof, of transparent plastics",Construction Residential
wholesaler,cobalt,Other Metals
wholesaler,"cocoa products, chocolate",Food Related Products
wholesaler,coffee pots,Machinery & Equipment
wholesaler,cola-based beverages,Food Related Products
wholesaler,collection,Other Industry
wholesaler,combined ovens,Machinery & Equipment
wholesaler,commercial vehicles electrical parts,Machinery & Equipment
wholesaler,commercial vehicles electronic components,Machinery & Equipment
wholesaler,compact ball valves,Other Metals
wholesaler,compensators,Machinery & Equipment
wholesaler,composite hoses,Automotive LDV
wholesaler,composition,Other Industry
wholesaler,concrete form,Construction Buildings
wholesaler,concrete products,Construction Buildings
wholesaler,concrete pumps,Machinery & Equipment
wholesaler,congresses services,Other Industry
wholesaler,construction of farm buildings,Construction Buildings
wholesaler,construction of golf courses,Construction Residential
wholesaler,consultants construction,Construction Buildings
wholesaler,container groupage,Food Related Products
wholesaler,container loading,Total Energy
wholesaler,containers for collecting,Other Transport
wholesaler,contemporary art,Iron & Steel
wholesaler,contract roasting of nuts,Food Related Products
wholesaler,contract sawmills for metals,Iron & Steel
wholesaler,converters,Automotive LDV
wholesaler,corned beef,Food Related Products
wholesaler,corona,Total Energy
wholesaler,corporate removals,Other Transport
wholesaler,corrosion protection,Bioenergy & Waste Energy
wholesaler,courgettes,Food Related Products
wholesaler,covering film,Construction Buildings
wholesaler,covers made of pvc-coated fabrics,Other Transport
wholesaler,cranberry,Food Related Products
wholesaler,creative plates,Construction Buildings
wholesaler,crystal balls,Construction Residential
wholesaler,cultery for restaurants,Iron & Steel
wholesaler,cumin,Agriculture & Livestock
wholesaler,cups for drinks,Food Related Products
wholesaler,curios,Construction Buildings
wholesaler,current variators,Construction Residential
wholesaler,customer satisfiers,Automotive LDV
wholesaler,cutlery,Machinery & Equipment
wholesaler,cutlery for hotels,Machinery & Equipment
wholesaler,"cybernetics, industrial",Construction Buildings
wholesaler,cycling helmets,Machinery & Equipment
wholesaler,cyclone filters,Construction Buildings
wholesaler,damaged goods recycling,Bioenergy & Waste Energy
wholesaler,darkening film,Construction Buildings
wholesaler,dbk exclusive gmbh,Automotive HDV
wholesaler,dc link capacitors,Renewable Energy
wholesaler,de-stocking,Total Power
wholesaler,decorative ridge,Construction Buildings
wholesaler,deep-frozen ready-made fish dishes,Food Related Products
wholesaler,dehydrated herbs,Food Related Products
wholesaler,dental products,Machinery & Equipment
wholesaler,dental zirconia,Machinery & Equipment
wholesaler,dentistry instrument,no_match
wholesaler,department shops,Automotive LDV
wholesaler,department stores,Automotive LDV
wholesaler,diamond wire saws,Construction Buildings
wholesaler,diaphragm bellows,Iron & Steel
wholesaler,diesel generator,Machinery & Equipment
wholesaler,dill,Food Related Products
wholesaler,direct current converters for vehicles,Other Transport
wholesaler,disinfectants,Other Industry
wholesaler,dismantling industrial facilities,Construction Buildings
wholesaler,disposable pallets,Construction Residential
wholesaler,"disposable tableware, plastic",Food Related Products
wholesaler,distilled water,Oil Energy
wholesaler,diy stock clearance,Construction Buildings
wholesaler,do-it-yourself hand held non-power tools,Construction Buildings
wholesaler,do-it-yourself hand-held power tools,Machinery & Equipment
wholesaler,dog chews,Agriculture & Livestock
wholesaler,dolls,Automotive HDV
wholesaler,domestic detergent,Construction Buildings
wholesaler,donkeys,Agriculture & Livestock
wholesaler,door fittings,Construction Buildings
wholesaler,drainage technology,Other Industry
wholesaler,dredging contractors,Construction Buildings
wholesaler,dried fruit packaging,Food Related Products
wholesaler,dried vegetable flours,Food Related Products
wholesaler,drill bit,Iron & Steel
wholesaler,driver's seats,Automotive LDV
wholesaler,drugs basic products,Agriculture & Livestock
wholesaler,dry brewers' yeasts,Machinery & Equipment
wholesaler,dry-cleaning machines,Iron & Steel
wholesaler,drywall,Construction Buildings
wholesaler,"drywall, partition",Construction Buildings
wholesaler,edge protectors,Other Transport
wholesaler,edible gelatine,Food Related Products
wholesaler,edible oil,Food Related Products
wholesaler,egg whites,Agriculture & Livestock
wholesaler,egg-based products,Agriculture & Livestock
wholesaler,eiderdowns,Machinery & Equipment
wholesaler,ejector,Shipping
wholesaler,ekey components,Automotive HDV
wholesaler,electrical cables,Machinery & Equipment
wholesaler,electrical wires,Machinery & Equipment
wholesaler,electronic scrap collection,Bioenergy & Waste Energy
wholesaler,emergency power unit,Machinery & Equipment
wholesaler,emulsifiers,Food Related Products
wholesaler,energy measurement instruments,Machinery & Equipment
wholesaler,energy regulation instruments,Total Energy
wholesaler,environment - services,Construction Buildings
wholesaler,environmentally-friendly business gifts,Machinery & Equipment
wholesaler,epal pallets,Construction Residential
wholesaler,epoxy painting,Other Non-metallic Minerals
wholesaler,epson laser printers,Machinery & Equipment
wholesaler,erythritol,Agriculture & Livestock
wholesaler,escalator,Construction Residential
wholesaler,esd packaging,Construction Buildings
wholesaler,essential natural oils,Food Related Products
wholesaler,ethnic items,Food Related Products
wholesaler,ethyl lactate,Food Related Products
wholesaler,exclusive,Automotive HDV
wholesaler,exfoliated graphite,Construction Buildings
wholesaler,exklusiv gmbh,Other Transport
wholesaler,exotic soft drink,Food Related Products
wholesaler,expandable graphite,Construction Buildings
wholesaler,extensive partners network around the world,Other Industry
wholesaler,extracts for pharmaceutical preparations,Agriculture & Livestock
wholesaler,eyelet machines,Machinery & Equipment
wholesaler,eyeliners,Machinery & Equipment
wholesaler,facial cosmetics,Agriculture & Livestock
wholesaler,farms tools,Machinery & Equipment
wholesaler,fatty acids,Food Related Products
wholesaler,façade coverings,Iron & Steel
wholesaler,feed additives,Food Related Products
wholesaler,feedthroughs for electrical engineering,Iron & Steel
wholesaler,felt pen,Machinery & Equipment
wholesaler,ferrous sulphate,Chemicals
wholesaler,ferrous sulphate animal feed,Chemicals
wholesaler,"fillers, mineral",Construction Buildings
wholesaler,filter circuit reactors,Renewable Energy
wholesaler,filters for paint spray booths,Automotive LDV
wholesaler,financial advisers,Automotive LDV
wholesaler,fire hoses,Automotive LDV
wholesaler,fire-retardant ceramic raw materials,Construction Buildings
wholesaler,fittings (pipe connectors),Machinery & Equipment
wholesaler,fittings for conductors,Automotive HDV
wholesaler,fittings for electric cables,Automotive LDV
wholesaler,"fittings for furniture, copper",Other Industry
wholesaler,fittings for high-vacuum technology,Iron & Steel
wholesaler,fittings for wires,Automotive HDV
wholesaler,fittings made of aluminium,Machinery & Equipment
wholesaler,flame retardant additives,Construction Buildings
wholesaler,flange gaskets,Iron & Steel
wholesaler,flange joints,Iron & Steel
wholesaler,flasher relays,Automotive LDV
wholesaler,flat gasket,Iron & Steel
wholesaler,fleet management,Automotive HDV
wholesaler,floor renovation,Construction Buildings
wholesaler,flower bulb,Agriculture & Livestock
wholesaler,fmcg,Food Related Products
wholesaler,fodder,Food Related Products
wholesaler,foie gras,Food Related Products
wholesaler,folding machine tools,Machinery & Equipment
wholesaler,food additives,Food Related Products
wholesaler,food-grade boxes,Food Related Products
wholesaler,food-grade cbd,Food Related Products
wholesaler,footwear,Other Industry
wholesaler,"footwear, safety",no_match
wholesaler,"for labelling, magnetic",Machinery & Equipment
wholesaler,foreign cheeses,Food Related Products
wholesaler,forklift truck,Machinery & Equipment
wholesaler,forklifts,Machinery & Equipment
wholesaler,formaldehyde filters,Total Energy
wholesaler,freeze-dried flowers,Agriculture & Livestock
wholesaler,french natural fragrances,Food Related Products
wholesaler,fresh sheep meat,Agriculture & Livestock
wholesaler,freshwater crayfish,Agriculture & Livestock
wholesaler,frozen chicken,Food Related Products
wholesaler,frozen mutton lamb sheep,Food Related Products
wholesaler,frozen rabbit,Food Related Products
wholesaler,fructose syrup,Food Related Products
wholesaler,fruit bars,Food Related Products
wholesaler,fruit extracts,Agriculture & Livestock
wholesaler,fruit seeds for growers,Agriculture & Livestock
wholesaler,fuel tank caps,Oil Energy
wholesaler,fungicides,Food Related Products
wholesaler,furniture lacquering,Other Transport
wholesaler,gambas,Food Related Products
wholesaler,"games, garden",Other Industry
wholesaler,garden tiles,Construction Buildings
wholesaler,garlic preparations,Food Related Products
wholesaler,gas ball valves,Other Metals
wholesaler,"gases, liquefied",Gas Energy
wholesaler,gastronomy specialities,Food Related Products
wholesaler,gastronomy technology,Machinery & Equipment
wholesaler,gearboxes for vehicles,Automotive LDV
wholesaler,gelatine,Food Related Products
wholesaler,gelling agent,Food Related Products
wholesaler,german cars,Automotive LDV
wholesaler,glass containers,Food Related Products
wholesaler,glazed stoneware tiles,Construction Buildings
wholesaler,glue,Construction Residential
wholesaler,glue-top coils,Construction Buildings
wholesaler,glued laminated (wooden construction),Construction Buildings
wholesaler,gluten-free product,Food Related Products
wholesaler,golfing gear,Automotive HDV
wholesaler,goods lifting windlasses,Machinery & Equipment
wholesaler,grabbing crane,Machinery & Equipment
wholesaler,granules for plastics,Machinery & Equipment
wholesaler,"graphics machines, used",Machinery & Equipment
wholesaler,grasse fragrances,Food Related Products
wholesaler,grating covers,Other Industry
wholesaler,greases,Oil Energy
wholesaler,great offers,Other Industry
wholesaler,grinding balls,Construction Buildings
wholesaler,grocery delivery,Food Related Products
wholesaler,grocery shop online,Food Related Products
wholesaler,ground markings,Machinery & Equipment
wholesaler,guarana extracts,Agriculture & Livestock
wholesaler,guarana powder,Agriculture & Livestock
wholesaler,guaranteed quality,Food Related Products
wholesaler,hair creams,Machinery & Equipment
wholesaler,hair treatment products,Agriculture & Livestock
wholesaler,halal certification,Food Related Products
wholesaler,hall markings,Construction Buildings
wholesaler,ham,Food Related Products
wholesaler,ham-slicers for butchers,Food Related Products
wholesaler,ham-slicers for delicatessens,Food Related Products
wholesaler,hand lever valves,Other Metals
wholesaler,hardware stock clearance,Construction Buildings
wholesaler,hay,Agriculture & Livestock
wholesaler,hazelnut meal,Agriculture & Livestock
wholesaler,hazelnuts almonds pistachios,Food Related Products
wholesaler,"hazelnuts, shelled",Agriculture & Livestock
wholesaler,"hazelnuts, whole",Agriculture & Livestock
wholesaler,hdpe,Renewable Energy
wholesaler,headlights,Automotive LDV
wholesaler,headrest tubes,Iron & Steel
wholesaler,headscarf,Construction Residential
wholesaler,heat counters,Automotive LDV
wholesaler,heating strips,Construction Residential
wholesaler,hedging,Other Industry
wholesaler,heineken beer,Other Industry
wholesaler,hemp cosmetics,Other Non-metallic Minerals
